"","x"
"99","Sudah bayar separuh dp, kemudian ketika sampai tujuan, kamar dibilang full, saya kira uang dp bayar separuh kembali kesaya, tapi tidak uang hangus dikenakan biaya pembatalan. Yang salah siapa yg nanggung siapa, ini aplikasi yg sangat merugikan org.. Nyesell"
"100","Buruk banget saya sudah booking dan bayar tp saat 1 hari sebelom tgl check in malah di batalkan dengan alasan sudah tlpn adahal tdm ada tlpn terus bagaimna ini peryanghung jwb nya... Sangat buruk sekali..."
"101","Saya memesan hotel daerah BSD tanggal 29 desember, pembayaran berhasil, akhirnya saya pergi ke hotel tujuan pada malam hari, pas sampai ternyata hotel tutup, kata petugas sedang di segel pol pp, pertanyaan saya, memang pihak aplikasi tidak mengetahui apa yg terjadi di lapangan sehingga sistem di apl...Ulasan LengkapSaya memesan hotel daerah BSD tanggal 29 desember, pembayaran berhasil, akhirnya saya pergi ke hotel tujuan pada malam hari, pas sampai ternyata hotel tutup, kata petugas sedang di segel pol pp, pertanyaan saya, memang pihak aplikasi tidak mengetahui apa yg terjadi di lapangan sehingga sistem di aplikasi bahwa hotel tersebut tersedia? Yg kedua, kenapa notif datang setelah saya sampai di tempat tepatnya di jam 9? Tidak berfikir kah saya harus tidur dmana malam itu? Dan smpai skrng uang blm balik"
"102","Sangat membantu"
"103","Mantap oyo bisa membantu mencarikan tempat yg murah dan jempolan"
"104","Aplikasi oyo mudah digunakan ga ribet, hotelnya rata² jg nyaman bersih, bagus."
"105","Bagus"
"106","Sangat buruk sekali sampai sekarang uang saya tidak kembali sudah lebih dari 14 hari kerja ."
"107","Mntap!!!"
"108","Saya sgt kecewa dg oyo ud boking sblm 2 minggu ud byr kas tiba2 ke hotel blg maaf hotel penuh,pdhl saya dr sby mau ke bali..dg rasa sgt kecewa...pihak oyo hnya blg maaf dan sgra kami refund..tdk ada solusi yg trbaik...utk yg baca keluhan saya jgn prnh pesan melalui oyo mending teaveloka..dr pd anda ...Ulasan LengkapSaya sgt kecewa dg oyo ud boking sblm 2 minggu ud byr kas tiba2 ke hotel blg maaf hotel penuh,pdhl saya dr sby mau ke bali..dg rasa sgt kecewa...pihak oyo hnya blg maaf dan sgra kami refund..tdk ada solusi yg trbaik...utk yg baca keluhan saya jgn prnh pesan melalui oyo mending teaveloka..dr pd anda mau liburan dg hasil sprti saya ini..."
"109","mantulll..."
"110","Agak lambat"
"111","baru pertama kali pesan hotel via oyo.. tapi kecewa.!!! sgt kecewa berat.!!! pihak hotel nya menyatakan tidak ada pesanan.!! operator oyo juga tidak ada aktif hp nya.!! benar2 sgt mengecewakan !!!! sgt menyesal pesan dr oyo.."
"112","parah sudah tf pembyran dibatalkan tidk bisa refund . di aplikasinya tidak ada keterangan apapun pembatalan . tlfon cs nya pun bilangnya ada pembayaran dan suruh email malah minta id boking . gmna ngeliat id bokingnya diaplikasinya aja tidak ada keterangan batalnya . tbatba juga hotel yg dipesan tid...Ulasan Lengkapparah sudah tf pembyran dibatalkan tidk bisa refund . di aplikasinya tidak ada keterangan apapun pembatalan . tlfon cs nya pun bilangnya ada pembayaran dan suruh email malah minta id boking . gmna ngeliat id bokingnya diaplikasinya aja tidak ada keterangan batalnya . tbatba juga hotel yg dipesan tidak dapat ditemukan ."
