"","x"
"325","Top"
"326","Pesan gak pale ribet"
"327","Puas"
"328","Mudah dan cepat"
"329","Bagus, blm ada keluhan apa2"
"330","Refound tak pernah di gubris Alasan mail box penuh,komplain no respon Dan masih banyak alasan alasan lain yang mereka pakai,jadi intinya kalo bisa Jangan pakai apk ini."
"331","Selalu puas kalo booking"
"332","Mudah di aplikasikan"
"333","Ok"
"334","3 dulu bru nyoba...!"
"335","Mantul"
"336","Tolong ya, CS REDdoorz yang terhormat. Kalau ada masalah jangan lari dari masalah. Diselesaikan dan kasih jalan keluar. Parah banget kemaren itu Saya pesan Room privat yang Queen setelah pembayaran malah dapat room yang Dom. Duhhh mana bagiaan CS nya lari lagi, di telpon gak ada penyelesaian malah d...Ulasan LengkapTolong ya, CS REDdoorz yang terhormat. Kalau ada masalah jangan lari dari masalah. Diselesaikan dan kasih jalan keluar. Parah banget kemaren itu Saya pesan Room privat yang Queen setelah pembayaran malah dapat room yang Dom. Duhhh mana bagiaan CS nya lari lagi, di telpon gak ada penyelesaian malah dimatikan. Untung saya baik, saya kasih bintang lima. Tapi saya sangat kecewa."
"337","Good"
"338","Ok"
"339","Belum ada"
"340","Perbanyak promo"
"341","terimakasih"
"342","Oke, sangat membantu ."
"343","Mantap"
"344","Good job"
"345","Mudah Murah Ramah 😁"
"346","Koneksi cepat, pemesanan langsung terproses. Thx"
"347","refund susah ga tau balik apa ga nih, ktanya 14hr kerja, udh 21 hari krja blm balik juga, cs ga responsif, HATI..HATI BUAT YG LAIN.."
"348","Lama kali loading nya"
"349","Aplikasi dengan pelayanan yang memuaskan, harga penginapan juga lebih murah, recommended pokoknya"
"350","Simpel. Keren. Murah. Banyak Promo"
"351","Mantuuullll"
"352","Kamar nyaman, ok lah pokoknya"
"353","Sipp membantu bngt... kamarnya murah2 dan bagus"
"354","Murah dan nyaman"
"355","Varian hotelnya banyak"
"356","Makin ribet aja, pakek reddoorz mesti ke indomaret pas pembayaran, harusnya bisa Jga d bayar d tempat atau d hotel tsbt, kyak prosedur sebelumnya."
