"","x"
"164","Aplikasi ini bagus,murah juga cuman perlu ditingkatkan lg perihal pembatalan sepihak padahal transaksi udah dilakukan dan bukti pembayaran pun sudah keluar itulah pengalaman saya yang membuat kecewa tetepi setelah saya konfirmasi lewat email pihak agoda secara cepat memproses keluhan saya melalui em...Ulasan LengkapAplikasi ini bagus,murah juga cuman perlu ditingkatkan lg perihal pembatalan sepihak padahal transaksi udah dilakukan dan bukti pembayaran pun sudah keluar itulah pengalaman saya yang membuat kecewa tetepi setelah saya konfirmasi lewat email pihak agoda secara cepat memproses keluhan saya melalui email,tlp pribadi dan agoda langsung memberikan refunds methods agoda tunai atau refunds tunai dan saya memilih agoda tunai agar proses cepat dan ga ribet.. Mohon ditingkatkan lg ya min 🙏🏻👌🏻"
"165","Ok"
"166","parah, baru bayar di indomrt 750rb langsung dapat email dari Agoda di cencel, tlp di jaba mesin lg sibuk parah agoda ambil duit"
"167","Bagus"
"168","Harap tingkatkan pelayanan komplain"
"169","Komukasi lebih baik"
"170","pesan disini harganya muraahhhhh"
"171","Lumayan ,ribet di transaksi kecuali indomart dan alfamart"
"172","Bagus.dapat hotel yg diinginkan"
"173","Harus cepet nginstal nya ya"
"174","Good"
"175","harga lebih murah"
"176","Bisa lebih cepat dapat informasi n pesan dengan harga bagus"
"177","sangat baik"
"178","Jangan pernah booking hotel melalui agoda ! Gak jelas , setelah saya melakukan transfer tdk ada konfirmasi , dan alamat akomodasi ya pun gak jelas , sudah 12 jam saya menunggu email voucer dri agoda ."
"179","Komen nya pada horor.mening di laporkan segera aplikasi ini sebelum banyak korban berjatuhan."
"180","Ok banget"
"181","Good"
"182","Jangan download aplikasi ini, aplikasi ini sangat berbahaya , saya booking bayar ditempat ternyata lansung pemotongan dari rekening saya lansung , dan aneh ny bisa lansung pemotongan lewat rekening ,hati hati ya saya kena hampir 1 juta , dan customer servis tidak membantu detil dan jelas ,saya cuman...Ulasan LengkapJangan download aplikasi ini, aplikasi ini sangat berbahaya , saya booking bayar ditempat ternyata lansung pemotongan dari rekening saya lansung , dan aneh ny bisa lansung pemotongan lewat rekening ,hati hati ya saya kena hampir 1 juta , dan customer servis tidak membantu detil dan jelas ,saya cuman ngasih tau pengalaman saya , terimakasih jangan di download"
"183","Pesan hotel jadi mudah,,murah,,berkualitas,,banyak promo."
"184","Bagus, banyak promo, cepat."
"185","Sangat membantu sekali dalam pencarian, apalagi dengan banyak promo"
